,benchmark_id,size,models,total_pairs,close_pairs,no_solve,tau-,SE(A),SE_x(A),SE_pred(A),SE(A-B),SE_x(A-B),SE_pred(A-B),SE_signtest,"corr(A,B)",sum(A!=B),sig_noise
0,human_eval,164,51,554,516,1,0,"{'count': 46.0, 'mean': 0.035367147, 'std': 0.0042969928, 'min': 0.0237545146, '25%': 0.0337454035, '50%': 0.0372998698, '75%': 0.0386661228, 'max': 0.0390434405}","{'count': 46.0, 'mean': 0.0268606822, 'std': 0.0054791213, 'min': 0.0141049549, '25%': 0.0237074284, '50%': 0.025632902, '75%': 0.0309226799, 'max': 0.0389009192}","{'count': 46.0, 'mean': 0.0211772401, 'std': 0.0084322998, 'min': 0.0, '25%': 0.0164181273, '50%': 0.0222825038, '75%': 0.0288496402, 'max': 0.0315915895}","{'count': 516.0, 'mean': 0.0434231168, 'std': 0.005600197, 'min': 0.0261990816, '25%': 0.0397505807, '50%': 0.0448977903, '75%': 0.0474508012, 'max': 0.0525058098}","{'count': 516.0, 'mean': 0.0279188732, 'std': 0.0051651323, 'min': 0.0156095594, '25%': 0.0245320381, '50%': 0.0273495582, '75%': 0.0314484115, 'max': 0.0407981701}","{'count': 516.0, 'mean': 0.0324930308, 'std': 0.0074221185, 'min': 0.0128839695, '25%': 0.0271545986, '50%': 0.0332014688, '75%': 0.0380236073, 'max': 0.044594646}","{'count': 516.0, 'mean': 0.0436563272, 'std': 0.00556223, 'min': 0.026355164, '25%': 0.0403629898, '50%': 0.0450378017, '75%': 0.0476534916, 'max': 0.0530618405}","{'count': 516.0, 'mean': 0.5054188956, 'std': 0.118881828, 'min': 0.1933478517, '25%': 0.4185407736, '50%': 0.507965337, '75%': 0.5916691156, 'max': 0.7561333653}","{'count': 516.0, 'mean': 52.0909180289, 'std': 12.482705667, 'min': 18.6818181818, '25%': 43.8181818182, '50%': 54.5559440547, '75%': 61.0769230767, 'max': 75.7272727267}",
1,bbh_cot,6511,45,490,158,76,138,"{'count': 45.0, 'mean': 0.0056004515, 'std': 0.0005202542, 'min': 0.0042969993, '25%': 0.0051629618, '50%': 0.0058323948, '75%': 0.0060672268, 'max': 0.0061958905}","{'count': 45.0, 'mean': 0.0042404259, 'std': 0.000805995, 'min': 0.0023478047, '25%': 0.003892005, '50%': 0.0042780017, '75%': 0.004642509, 'max': 0.006139509}","{'count': 45.0, 'mean': 0.0033938696, 'std': 0.0012364986, 'min': 0.0, '25%': 0.0030420911, '50%': 0.003854729, '75%': 0.0042124368, 'max': 0.0045229509}","{'count': 158.0, 'mean': 0.0067715717, 'std': 0.000813145, 'min': 0.0046501747, '25%': 0.0063544214, '50%': 0.0069639673, '75%': 0.0073946066, 'max': 0.0078537702}","{'count': 158.0, 'mean': 0.0043262837, 'std': 0.0009214531, 'min': 0.0025648401, '25%': 0.0036808182, '50%': 0.00416553, '75%': 0.0049170073, 'max': 0.0063137221}","{'count': 158.0, 'mean': 0.0050963213, 'std': 0.0009922253, 'min': 0.002066999, '25%': 0.004305682, '50%': 0.0055382642, '75%': 0.005920805, 'max': 0.0063430749}","{'count': 158.0, 'mean': 0.0067763273, 'std': 0.000814001, 'min': 0.0046513607, '25%': 0.006360414, '50%': 0.0069736338, '75%': 0.0073977697, 'max': 0.0078543144}","{'count': 158.0, 'mean': 0.481792633, 'std': 0.1412054853, 'min': 0.1936287986, '25%': 0.3660437671, '50%': 0.467874956, '75%': 0.6070467217, 'max': 0.7247624519}","{'count': 158.0, 'mean': 1974.5450484677, 'std': 440.9158447234, 'min': 917.1818181792, '25%': 1715.2977272487, '50%': 2061.6439393736, '75%': 2320.0492424115, 'max': 2615.242424224}",
2,mbpp,500,35,352,348,15,12,"{'count': 34.0, 'mean': 0.0209263197, 'std': 0.0019879178, 'min': 0.0148590624, '25%': 0.0206788607, '50%': 0.0214989312, '75%': 0.0221868253, 'max': 0.0223555329}","{'count': 34.0, 'mean': 0.0177347828, 'std': 0.0027698264, 'min': 0.0102412647, '25%': 0.0169826574, '50%': 0.0182920522, '75%': 0.0191014079, 'max': 0.022354239}","{'count': 34.0, 'mean': 0.0102939846, 'std': 0.0037722726, 'min': 0.0, '25%': 0.0096651472, '50%': 0.0114602237, '75%': 0.0126951247, 'max': 0.0139917331}","{'count': 348.0, 'mean': 0.0213787411, 'std': 0.0012433508, 'min': 0.0166074655, '25%': 0.0208404068, '50%': 0.0214513933, '75%': 0.0221966159, 'max': 0.0239078738}","{'count': 348.0, 'mean': 0.0144971345, 'std': 0.0025159856, 'min': 0.0069621276, '25%': 0.0127445755, '50%': 0.0142629276, '75%': 0.0164833658, 'max': 0.0202460902}","{'count': 348.0, 'mean': 0.0152767932, 'std': 0.0029593762, 'min': 0.0, '25%': 0.0131186575, '50%': 0.0160904476, '75%': 0.0175037186, 'max': 0.0195638391}","{'count': 348.0, 'mean': 0.0215441046, 'std': 0.0012649635, 'min': 0.0166081958, '25%': 0.0209868424, '50%': 0.0216550085, '75%': 0.0224377928, 'max': 0.0241600722}","{'count': 348.0, 'mean': 0.6926405345, 'std': 0.0764072859, 'min': 0.505578694, '25%': 0.6360014456, '50%': 0.7026415096, '75%': 0.7448788884, 'max': 0.8777750514}","{'count': 348.0, 'mean': 116.4359946273, 'std': 13.2842142836, 'min': 68.9580419555, '25%': 110.1118881087, '50%': 117.2348484836, '75%': 125.8636363618, 'max': 145.9272727259}",
3,mgsm_cot,2750,52,534,216,10,43,"{'count': 47.0, 'mean': 0.0083015565, 'std': 0.0010810464, 'min': 0.0058599488, '25%': 0.0075575528, '50%': 0.0085797501, '75%': 0.0093440132, 'max': 0.0095335401}","{'count': 47.0, 'mean': 0.0066596098, 'std': 0.0009894075, 'min': 0.004446584, '25%': 0.0060551786, '50%': 0.0068304346, '75%': 0.0072482768, 'max': 0.009532505}","{'count': 47.0, 'mean': 0.004672753, 'std': 0.0017262436, 'min': 0.0, '25%': 0.0040626799, '50%': 0.0052112794, '75%': 0.0058150187, 'max': 0.0064596339}","{'count': 216.0, 'mean': 0.0090096447, 'std': 0.0012728272, 'min': 0.0058303061, '25%': 0.0078908092, '50%': 0.009386066, '75%': 0.0099734389, 'max': 0.0108045411}","{'count': 216.0, 'mean': 0.0056830656, 'std': 0.0011860606, 'min': 0.0038448568, '25%': 0.0048931434, '50%': 0.0055077075, '75%': 0.0060291504, 'max': 0.0090473894}","{'count': 216.0, 'mean': 0.0068279406, 'std': 0.0015746528, 'min': 0.0026862367, '25%': 0.0056815006, '50%': 0.0071108894, '75%': 0.0082195434, 'max': 0.009082756}","{'count': 216.0, 'mean': 0.0090248005, 'std': 0.0012762561, 'min': 0.0058304524, '25%': 0.0078975577, '50%': 0.0093950196, '75%': 0.0100045643, 'max': 0.0108227351}","{'count': 216.0, 'mean': 0.6359522219, 'std': 0.1127867376, 'min': 0.3276372533, '25%': 0.5611708252, '50%': 0.655904932, '75%': 0.7245653824, 'max': 0.8352524177}","{'count': 216.0, 'mean': 628.2041159605, 'std': 167.5942149373, 'min': 257.0809523804, '25%': 471.69125, '50%': 667.5189102455, '75%': 756.9431397159, 'max': 885.8076922943}",
4,leetcode,180,51,2090,12,52,0,"{'count': 5.0, 'mean': 0.0302772702, 'std': 0.0035732954, 'min': 0.0278783761, '25%': 0.0283074456, '50%': 0.028795499, '75%': 0.0298761733, 'max': 0.0365288568}","{'count': 5.0, 'mean': 0.0250645038, 'std': 0.0050527601, 'min': 0.0198293474, '25%': 0.02065743, '50%': 0.0253028306, '75%': 0.0274192361, 'max': 0.0321136747}","{'count': 5.0, 'mean': 0.0159928379, 'std': 0.0053036924, 'min': 0.008795809, '25%': 0.0126916602, '50%': 0.0174088849, '75%': 0.0187209626, 'max': 0.0223468726}","{'count': 12.0, 'mean': 0.0326206334, 'std': 0.0019775974, 'min': 0.0292563786, '25%': 0.0314467575, '50%': 0.0330768974, '75%': 0.0336367082, 'max': 0.0352301615}","{'count': 12.0, 'mean': 0.022642773, 'std': 0.0034395638, 'min': 0.0167140672, '25%': 0.0206904565, '50%': 0.0234799554, '75%': 0.0240977867, 'max': 0.0273944167}","{'count': 12.0, 'mean': 0.0229351386, 'std': 0.0044472964, 'min': 0.015441648, '25%': 0.0206843104, '50%': 0.0233165644, '75%': 0.0256994349, 'max': 0.0291523096}","{'count': 12.0, 'mean': 0.0326541729, 'std': 0.0019949067, 'min': 0.0292760894, '25%': 0.0314521398, '50%': 0.0331093532, '75%': 0.0336933421, 'max': 0.0352847594}","{'count': 12.0, 'mean': 0.5458698367, 'std': 0.0904223485, 'min': 0.4511641282, '25%': 0.462387009, '50%': 0.5196836677, '75%': 0.6598407811, 'max': 0.6624597665}","{'count': 12.0, 'mean': 34.666153846, 'std': 4.1642916987, 'min': 27.7696969696, '25%': 32.051282051, '50%': 35.5278321676, '75%': 36.7818181817, 'max': 40.3384615385}",
5,math_cot,5000,49,496,142,54,32,"{'count': 43.0, 'mean': 0.0063244301, 'std': 0.0007665687, 'min': 0.0043053361, '25%': 0.0058217288, '50%': 0.006664664, '75%': 0.0069035418, 'max': 0.0070705811}","{'count': 43.0, 'mean': 0.0048452844, 'std': 0.0008792038, 'min': 0.0029542604, '25%': 0.0043054608, '50%': 0.0047523145, '75%': 0.0053533605, 'max': 0.0068277983}","{'count': 43.0, 'mean': 0.0038438438, 'std': 0.0012659825, 'min': 0.0004967011, '25%': 0.00342075, '50%': 0.0040982435, '75%': 0.004675269, 'max': 0.0053993827}","{'count': 142.0, 'mean': 0.0072843598, 'std': 0.0008087546, 'min': 0.0052204358, '25%': 0.0069684422, '50%': 0.0073765083, '75%': 0.007748882, 'max': 0.0089287208}","{'count': 142.0, 'mean': 0.0041992562, 'std': 0.0011540985, 'min': 0.0025472713, '25%': 0.0032412804, '50%': 0.0039060999, '75%': 0.0053026135, 'max': 0.0071174955}","{'count': 142.0, 'mean': 0.0057919853, 'std': 0.0011029654, 'min': 0.0008813049, '25%': 0.0049676655, '50%': 0.0060279374, '75%': 0.0066285651, 'max': 0.0075481667}","{'count': 142.0, 'mean': 0.0072899876, 'std': 0.0008092045, 'min': 0.0052249982, '25%': 0.0069694388, '50%': 0.0073862469, '75%': 0.0077585995, 'max': 0.0089305966}","{'count': 142.0, 'mean': 0.6560573234, 'std': 0.1427843836, 'min': 0.2534136767, '25%': 0.5784874745, '50%': 0.7037523158, '75%': 0.7636696931, 'max': 0.8700544482}","{'count': 142.0, 'mean': 1344.8529977596, 'std': 288.5632444067, 'min': 682.5151514933, '25%': 1214.4009868386, '50%': 1363.9160838753, '75%': 1504.896694175, 'max': 1993.8888888766}",
6,cruxeval_output_cot,800,52,626,566,20,9,"{'count': 49.0, 'mean': 0.016010948, 'std': 0.0017134731, 'min': 0.0112255811, '25%': 0.0151086272, '50%': 0.0162829604, '75%': 0.0173800419, 'max': 0.0176776312}","{'count': 49.0, 'mean': 0.0124365841, 'std': 0.0023292904, 'min': 0.0067007339, '25%': 0.0110000536, '50%': 0.0132342592, '75%': 0.0138729657, 'max': 0.0175603869}","{'count': 49.0, 'mean': 0.0094550778, 'std': 0.0031701159, 'min': 0.0, '25%': 0.0091775308, '50%': 0.0104758734, '75%': 0.011013624, 'max': 0.0138104419}","{'count': 566.0, 'mean': 0.0179363062, 'std': 0.0013927288, 'min': 0.0128078222, '25%': 0.0172691586, '50%': 0.0178286578, '75%': 0.0184640365, 'max': 0.0212911863}","{'count': 566.0, 'mean': 0.010367804, 'std': 0.0017915589, 'min': 0.0065833139, '25%': 0.0090794811, '50%': 0.0101542341, '75%': 0.0112402402, 'max': 0.0154077096}","{'count': 566.0, 'mean': 0.0144302826, 'std': 0.0021742283, 'min': 0.0072886899, '25%': 0.0136910434, '50%': 0.0149592759, '75%': 0.0157484624, 'max': 0.0187856374}","{'count': 566.0, 'mean': 0.0180348943, 'std': 0.0013984303, 'min': 0.0129763407, '25%': 0.0173718023, '50%': 0.0179570948, '75%': 0.0185915941, 'max': 0.021325845}","{'count': 566.0, 'mean': 0.6480670137, 'std': 0.1103859442, 'min': 0.28366367, '25%': 0.5855632696, '50%': 0.650784154, '75%': 0.7217377465, 'max': 0.8611973885}","{'count': 566.0, 'mean': 209.4141208245, 'std': 32.1779061732, 'min': 107.7666666657, '25%': 193.1388888868, '50%': 206.37272727, '75%': 221.2143939369, 'max': 291.0666666665}",
7,cruxeval_input_cot,800,52,746,667,5,12,"{'count': 45.0, 'mean': 0.0164803875, 'std': 0.0013315066, 'min': 0.0126531932, '25%': 0.0159109355, '50%': 0.0169748525, '75%': 0.0175183401, 'max': 0.0176626233}","{'count': 45.0, 'mean': 0.0123373461, 'std': 0.0021188185, 'min': 0.0066480208, '25%': 0.0111199661, '50%': 0.0127835802, '75%': 0.0133805297, 'max': 0.0174369937}","{'count': 45.0, 'mean': 0.0104118219, 'std': 0.0029189472, 'min': 0.0, '25%': 0.0104086261, '50%': 0.0112574585, '75%': 0.0117249381, 'max': 0.0128910196}","{'count': 667.0, 'mean': 0.0191970871, 'std': 0.0009864405, 'min': 0.0143082713, '25%': 0.0186493351, '50%': 0.019314693, '75%': 0.0198289993, 'max': 0.0218420248}","{'count': 667.0, 'mean': 0.0111635481, 'std': 0.0024620204, 'min': 0.0066281476, '25%': 0.0094572227, '50%': 0.0104949287, '75%': 0.0121435695, 'max': 0.0206153746}","{'count': 667.0, 'mean': 0.01531659, 'std': 0.0020569179, 'min': 0.0005, '25%': 0.0148435861, '50%': 0.0158892185, '75%': 0.0165972156, 'max': 0.0182110029}","{'count': 667.0, 'mean': 0.0192980681, 'std': 0.000996571, 'min': 0.0143089722, '25%': 0.0187227812, '50%': 0.0194409719, '75%': 0.0199285537, 'max': 0.0221081893}","{'count': 667.0, 'mean': 0.5984749761, 'std': 0.1375800471, 'min': 0.2159734539, '25%': 0.4969413874, '50%': 0.619504075, '75%': 0.7020495748, 'max': 0.8865539976}","{'count': 667.0, 'mean': 238.9805417296, 'std': 24.1518469218, 'min': 131.0378787845, '25%': 224.3472222196, '50%': 241.8888888864, '75%': 254.1742424219, 'max': 312.8141025609}",
8,ds1000,1000,39,670,242,274,9,"{'count': 24.0, 'mean': 0.0128032323, 'std': 0.0016957584, 'min': 0.0095460682, '25%': 0.011555634, '50%': 0.012814421, '75%': 0.0138183402, 'max': 0.0156655653}","{'count': 24.0, 'mean': 0.0106388066, 'std': 0.0017868894, 'min': 0.0074894918, '25%': 0.009421286, '50%': 0.0104122335, '75%': 0.0122367497, 'max': 0.0138269682}","{'count': 24.0, 'mean': 0.0068037569, 'std': 0.0020792866, 'min': 0.0006960094, '25%': 0.0061717235, '50%': 0.0074705693, '75%': 0.0080655165, 'max': 0.0087743946}","{'count': 242.0, 'mean': 0.0132983797, 'std': 0.0008208664, 'min': 0.0099679358, '25%': 0.0128640073, '50%': 0.013402484, '75%': 0.0138064891, 'max': 0.0152210293}","{'count': 242.0, 'mean': 0.0086241024, 'std': 0.0012900765, 'min': 0.006232333, '25%': 0.0078032754, '50%': 0.0083817768, '75%': 0.0092020646, 'max': 0.0120589854}","{'count': 242.0, 'mean': 0.0099656444, 'std': 0.0014765902, 'min': 0.0049214368, '25%': 0.0091470617, '50%': 0.0103107953, '75%': 0.0111457598, 'max': 0.0121081061}","{'count': 242.0, 'mean': 0.0133567727, 'std': 0.0008276967, 'min': 0.0099690698, '25%': 0.0129501015, '50%': 0.0135, '75%': 0.0138350674, 'max': 0.0153068612}","{'count': 242.0, 'mean': 0.6456727993, 'std': 0.0871082284, 'min': 0.388117493, '25%': 0.583787933, '50%': 0.6483583537, '75%': 0.7075044092, 'max': 0.8225763288}","{'count': 242.0, 'mean': 179.0856277576, 'std': 21.5803269802, 'min': 99.3823529409, '25%': 167.7051282025, '50%': 182.2499999969, '75%': 191.4090909076, 'max': 234.2999999995}",
9,math500_cot,500,51,518,422,3,5,"{'count': 43.0, 'mean': 0.0197047419, 'std': 0.0023779376, 'min': 0.013465955, '25%': 0.0181564703, '50%': 0.020411564, '75%': 0.021806655, 'max': 0.0223587902}","{'count': 43.0, 'mean': 0.0156712454, 'std': 0.0027744389, 'min': 0.0087447603, '25%': 0.0138242927, '50%': 0.0155758377, '75%': 0.0172525638, 'max': 0.0211497885}","{'count': 43.0, 'mean': 0.0114219137, 'std': 0.0032368268, 'min': 0.0, '25%': 0.010438978, '50%': 0.0120381339, '75%': 0.0137751883, 'max': 0.0154256414}","{'count': 422.0, 'mean': 0.0208176217, 'std': 0.0021968824, 'min': 0.0161889803, '25%': 0.0188874967, '50%': 0.021353843, '75%': 0.0225869683, 'max': 0.0245795332}","{'count': 422.0, 'mean': 0.0123074587, 'std': 0.0027674248, 'min': 0.0072716216, '25%': 0.0104474529, '50%': 0.0117440307, '75%': 0.0138751136, 'max': 0.0221041525}","{'count': 422.0, 'mean': 0.0165100056, 'std': 0.0025513402, 'min': 0.0020548047, '25%': 0.0147881682, '50%': 0.0164451614, '75%': 0.0183207217, 'max': 0.0210045332}","{'count': 422.0, 'mean': 0.020947226, 'std': 0.0022076303, 'min': 0.0161945246, '25%': 0.019086056, '50%': 0.0214624408, '75%': 0.02273388, 'max': 0.024837248}","{'count': 422.0, 'mean': 0.6948439204, 'std': 0.1166521947, 'min': 0.1177249335, '25%': 0.6589130256, '50%': 0.708266835, '75%': 0.7687523425, 'max': 0.8687833914}","{'count': 422.0, 'mean': 110.9120894351, 'std': 22.7635493285, 'min': 65.5656565634, '25%': 91.0693870503, '50%': 115.1590909072, '75%': 129.2073620815, 'max': 154.2222222183}",
